module_id,reuse_idx,product_name,product_code,reuse_position,product_image_id,remark,factory_src,module_type_sheet
02.06.01,01,seruna三绑带骨折护腕黑色,HW99,包边条,ID_B94F3F97062449BD8E4ECF6FF8955311,,博凯,面料模块
02.06.01,02,TMT三绑带骨折护腕黑色,HW99-T,包边条,ID_A5C72CCACAD0497D927F8529068164CD,,博凯,面料模块
02.06.01,03,jaffick三绑带骨折护腕黑色,HW95,包边条,ID_D8F401909F9A4D538267B69E74D11ECB,,博凯,面料模块
02.06.01,04,TMT康复【轻薄透气T-comb 骨折护腕】黑色,C-HW113,包边条,ID_79EBB74DC80F4F838BDA853B6D771B2B,,博凯,面料模块
02.06.01,05,seruna骨折护腕卡扣款黑色,HW63,包边条,ID_F5DEDA68C75747C5B63204F341F39359,,博凯,面料模块
02.06.01,06,seruna骨折护踝黑色,HH43,包边条,ID_4283E195B5B54BBC855E86EDD8484350,,博凯,面料模块
02.06.01,07,mini保暖护膝黑色,C-HX95,包边条,ID_03B7E16E9966404EB3D38B1E98641BCD,,博凯,面料模块
02.06.01,08,JAFFICK【滚轮护腕】黑色,HW101,附件+包边条,ID_CDDA686C1C2C4341B16DD381732E99A2,,博凯,面料模块
02.06.02,01,seruna三绑带骨折护腕灰色,HW99,包边条,ID_7E4BFD5BDD2E425C96E3CC8053CF9990,,博凯,面料模块
02.06.02,02,seruna三绑带骨折护腕灰色,HW99-T,包边条,ID_75EA466636154758A7ED6814094AE3B6,,博凯,面料模块
02.06.02,03,TMT康复【轻薄透气T-comb 骨折护腕】灰色,C-HW113,包边条,ID_79EBB74DC80F4F838BDA853B6D771B2B,,博凯,面料模块
02.06.02,04,seruna骨折护腕卡扣款灰色,HW63,包边条,ID_5C9F143A71D7451C80B27C380BD05669,,博凯,面料模块
02.06.02,05,TMT康复骨折护腕卡扣款灰色,HW63-T,包边条,ID_BDCE5B18735D4DB188C8544B0D5947E9,,博凯,面料模块
02.06.02,06,seruna骨折护踝灰色,HH43,包边条,ID_4283E195B5B54BBC855E86EDD8484350,,博凯,面料模块
02.06.02,07,JAFFICK【滚轮护腕】灰色,HW101,附件+包边条,ID_21AAE3ECDD784017A123CA43D2509887,,博凯,面料模块
02.06.02,08,筋膜炎护踝灰色,C-HH53,包边条,ID_11FA503241064AED836AFED1812B7BB3,,博凯,面料模块
02.06.03,01,SERUNA【睡眠护腰】,HY63,主体,ID_C19D94A023C74A3DB9E34497AA4564A6,,博凯,面料模块
02.06.03,02,睡眠护腰,C-HY63-T,主体,ID_469F3D4A74E2431F896B8627B3239452,,博凯,面料模块
02.06.04,01,SERUNA【睡眠护腰】,HY63,两翼,ID_C19D94A023C74A3DB9E34497AA4564A6,,博凯,面料模块
02.06.05,01,SERUNA【睡眠护腰】,HY63,内胆,ID_C19D94A023C74A3DB9E34497AA4564A6,,博凯,面料模块
02.06.05,02,睡眠护腰,C-HY63-T,内胆,ID_469F3D4A74E2431F896B8627B3239452,,博凯,面料模块
02.06.06,01,SERUNA扭伤护踝透气版黑色,HH25,主体,ID_DF15C9B39700459F8C964B883278D9E2,,博凯,面料模块
02.06.06,02,JAFFICK扭伤护踝透气版黑色,HH33,主体,ID_14D260691C1044499196D39A8E3F1DBC,,博凯,面料模块
02.06.07,01,SERUNA扭伤护踝透气版蓝灰色,HH25,主体,ID_C23301DCBADF4472AC7FDF47C6CEA86D,,博凯,面料模块
02.06.08,01,SERUNA【拇指腱鞘炎护腕】黑色,HW81,主体,ID_9FE1B57C040B4307894F5A0871096994,,博凯,面料模块
02.06.09,01,SERUNA【拇指腱鞘炎护腕】肤色,HW81,主体,ID_7163D55D553F4A3A81C7B3EF8CB0784A,,博凯,面料模块
02.06.10,01,JAFFICK扭伤护踝黑色,HH35,主体,ID_68755D0BE4364AC383D4FA20AF4402CB,,博凯,面料模块
02.06.10,02,TMT扭伤护踝黑色,HH45,主体,ID_38AE6D05B5E34BDE82C20DE823DC39B0,,博凯,面料模块
