module_id,reuse_idx,product_name,product_code,reuse_position,product_image_id,remark,factory_src,module_type_sheet
02.01.02,06,seruna骨折护踝灰色,HH43,主体,ID_4283E195B5B54BBC855E86EDD8484350,未上线灰色成品无照片,博凯,面料模块
02.01.02,07,JAFFICK【滚轮护腕】灰色,HW101,主体,ID_21AAE3ECDD784017A123CA43D2509887,,博凯,面料模块
02.02.01,01,seruna三绑带骨折护腕黑色,HW99,附件,ID_B94F3F97062449BD8E4ECF6FF8955311,,博凯,面料模块
02.02.01,02,TMT三绑带骨折护腕黑色,HW99-T,附件,ID_A5C72CCACAD0497D927F8529068164CD,,博凯,面料模块
02.02.01,03,jaffick三绑带骨折护腕黑色,HW95,附件,ID_D8F401909F9A4D538267B69E74D11ECB,,博凯,面料模块
02.02.01,04,TMT康复【轻薄透气T-comb 骨折护腕】黑色,C-HW113,附件,ID_79EBB74DC80F4F838BDA853B6D771B2B,,博凯,面料模块
02.02.01,05,JAFFICK【滚轮护腕】黑色,HW101,主体,ID_CDDA686C1C2C4341B16DD381732E99A2,,博凯,面料模块
02.02.02,01,seruna三绑带骨折护腕灰色,HW99,附件,ID_7E4BFD5BDD2E425C96E3CC8053CF9990,,博凯,面料模块
02.02.02,02,TMT三绑带骨折护腕灰色,HW99-T,附件,ID_75EA466636154758A7ED6814094AE3B6,,博凯,面料模块
02.02.02,03,TMT康复【轻薄透气T-comb 骨折护腕】灰色,C-HW113,附件,ID_79EBB74DC80F4F838BDA853B6D771B2B,未上线灰色成品无照片,博凯,面料模块
02.02.02,04,JAFFICK【滚轮护腕】灰色,HW101,主体,ID_21AAE3ECDD784017A123CA43D2509887,,博凯,面料模块
02.02.03,01,seruna骨折护腕卡扣款黑色,HW63,附件,ID_F5DEDA68C75747C5B63204F341F39359,,博凯,面料模块
02.02.03,02,seruna扭伤护踝透气版黑色,HH25,附件,ID_DF15C9B39700459F8C964B883278D9E2,,博凯,面料模块
02.02.04,01,seruna骨折护腕卡扣款灰色,HW63,附件,ID_5C9F143A71D7451C80B27C380BD05669,,博凯,面料模块
02.02.04,02,TMT康复骨折护腕卡扣款灰色,HW63-T,附件,ID_BDCE5B18735D4DB188C8544B0D5947E9,,博凯,面料模块
02.02.04,03,seruna扭伤护踝透气版灰色,HH25,附件,ID_C23301DCBADF4472AC7FDF47C6CEA86D,,博凯,面料模块
02.02.04,04,seruna骨折护踝灰色,HH43,附件,ID_4283E195B5B54BBC855E86EDD8484350,未上线灰色成品无照片,博凯,面料模块
02.02.05,01,seruna骨折护踝黑色,HH43,附件,ID_4283E195B5B54BBC855E86EDD8484350,,博凯,面料模块
02.02.06,01,seruna樱花护腰白色,HY61,附件,ID_1E01AFD5EE0F42A9B8759EE91C35E4C2,,博凯,面料模块
02.03.01,01,seruna三绑带骨折护腕黑色,HW99,绑带,ID_B94F3F97062449BD8E4ECF6FF8955311,,博凯,面料模块
02.03.01,02,TMT三绑带骨折护腕黑色,HW99-T,绑带,ID_A5C72CCACAD0497D927F8529068164CD,,博凯,面料模块
02.03.01,03,jaffick三绑带骨折护腕黑色,HW95,绑带,ID_D8F401909F9A4D538267B69E74D11ECB,,博凯,面料模块
02.03.01,04,TMT康复【轻薄透气T-comb 骨折护腕】黑色,C-HW113,绑带,ID_79EBB74DC80F4F838BDA853B6D771B2B,,博凯,面料模块
02.03.02,01,seruna三绑带骨折护腕灰色,HW99,绑带,ID_7E4BFD5BDD2E425C96E3CC8053CF9990,,博凯,面料模块
02.03.02,02,TMT三绑带骨折护腕灰色,HW99-T,绑带,ID_75EA466636154758A7ED6814094AE3B6,,博凯,面料模块
02.03.02,03,TMT康复【轻薄透气T-comb 骨折护腕】灰色,C-HW113,绑带,ID_79EBB74DC80F4F838BDA853B6D771B2B,未上线灰色成品无照片,博凯,面料模块
02.03.03,01,seruna运动护腕黑色,HW35,主体,ID_96236383332B4F5F87EAD825FC13B1F1,,博凯,面料模块
02.03.03,02,jaffick运动护腕黑色,HW93,主体,ID_041C376A18664C31ABAEADADA9422F4A,,博凯,面料模块
02.03.03,03,TMT羽毛球专用护腕黑色,HW65,主体,ID_FD7BA48DE0484EF8BE2E0E3DA94864D0,,博凯,面料模块
02.03.03,04,升级蝉翼护膝黑色,C-HX103,主体,ID_4DC4939E69484847A8EC29A8D0049671,,博凯,面料模块
02.03.04,01,seruna运动护腕肤色,HW35,主体,ID_6373838A0024418682DD33F20E260AB6,,博凯,面料模块
02.03.05,01,TMT腱鞘护腕黑色,HW89,整体,ID_FA5FDC29E9ED4C349B8766C12508E609,,博凯,面料模块
02.03.06,01,TMT腱鞘护腕肤色,HW89,整体,ID_4D5D8A48C6C3409B872BD7FA29A09649,,博凯,面料模块
02.03.07,01,seruna髌骨带灰色,BG05,绑带,ID_7BA32646353B416AAA9C878E835A0EB5,,博凯,面料模块
02.03.08,01,SERUNA【TFCC压胶护腕】黑色,HW53,整体,ID_ED0A60E521AD4780A3CEE5A5A7FD3B7A,,博凯,面料模块
02.03.09,01,SERUNA【TFCC压胶护腕】灰色,HW53,整体,ID_ED0A60E521AD4780A3CEE5A5A7FD3B7A,,博凯,面料模块
02.03.10,01,TMT康复【加压护腕】灰色,C-HW109,主体,ID_C26AC6A41C7143F28AC125E08C699F02,,博凯,面料模块
02.03.10,02,升级蝉翼护膝灰色,C-HX103,主体,ID_4DC4939E69484847A8EC29A8D0049671,,博凯,面料模块
02.03.12,01,筋膜炎护踝灰色,C-HH53,脚底面料,ID_11FA503241064AED836AFED1812B7BB3,,博凯,面料模块
02.03.13,01,轻薄护腕灰色,C-HW123,主体,ID_9D634039ADDE48F4B8B028E4A641012F,,博凯,面料模块
02.03.14,01,升级蝉翼护膝黑色,C-HX103,附件,ID_4DC4939E69484847A8EC29A8D0049671,,博凯,面料模块
02.03.15,01,升级蝉翼护膝灰色,C-HX103,附件,ID_4DC4939E69484847A8EC29A8D0049671,,博凯,面料模块
02.04.01,01,seruna三绑带骨折护腕黑色、灰色,HW99,支撑条缓冲垫片,ID_B94F3F97062449BD8E4ECF6FF8955311,,博凯,面料模块
02.04.01,02,seruna三绑带骨折护腕黑色、灰色,HW99-T,支撑条缓冲垫片,ID_A5C72CCACAD0497D927F8529068164CD,,博凯,面料模块
02.04.01,03,jaffick三绑带骨折护腕黑色,HW95,支撑条缓冲垫片,ID_D8F401909F9A4D538267B69E74D11ECB,,博凯,面料模块
02.04.01,04,TMT康复【轻薄透气T-comb 骨折护腕】黑色、灰色,C-HW113,支撑条缓冲垫片,ID_79EBB74DC80F4F838BDA853B6D771B2B,,博凯,面料模块
02.04.02,01,TMT羽毛球专用护腕黑色,HW65,缓冲片,ID_FD7BA48DE0484EF8BE2E0E3DA94864D0,,博凯,面料模块
02.04.03,01,seruna二级防护骨折护踝黑色,HH23,主体,ID_5E0BDCF94DD747809E0D1B62ACEF5EC2,,博凯,面料模块
02.04.03,02,JAFFICK【二级骨折护踝】黑色,HH31,主体,ID_C4EBC0524CCC45039016CC2DED00D55F,,博凯,面料模块
02.04.03,03,二级防护骨折护踝,C-HH23-J,主体,ID_DA4EEB9D8310436A9D34AA377A19A620,,博凯,面料模块
02.04.04,01,seruna二级防护骨折护踝灰色,HH23,主体,ID_4BA148ED39A44BDB96A7F26EA9326425,,博凯,面料模块
02.04.05,01,筋膜炎护踝灰色,C-HH53,主体,ID_11FA503241064AED836AFED1812B7BB3,,博凯,面料模块
02.04.06,01,升级蝉翼护膝黑色,C-HX103,附件,ID_4DC4939E69484847A8EC29A8D0049671,,博凯,面料模块
02.04.06,01,升级蝉翼护膝灰色,C-HX103,附件,ID_4DC4939E69484847A8EC29A8D0049671,,博凯,面料模块
02.05.01,01,seruna运动护腕黑色,HW35,附件,ID_96236383332B4F5F87EAD825FC13B1F1,,博凯,面料模块
02.05.01,02,jaffick运动护腕黑色,HW93,附件,ID_041C376A18664C31ABAEADADA9422F4A,,博凯,面料模块
02.05.01,03,TMT羽毛球专用护腕黑色,HW65,附件,ID_FD7BA48DE0484EF8BE2E0E3DA94864D0,,博凯,面料模块
02.05.01,04,腱鞘炎护腕黑色,HW81,附件,ID_510D7A40713D40A69610F54A1C2D8054,,博凯,面料模块
02.05.01,05,拇指护腕黑色,C-HW119,附件,ID_036398A18A344C7CB1D3821939281584,,博凯,面料模块
02.05.02,01,seruna运动护腕肤色,HW35,附件,ID_6373838A0024418682DD33F20E260AB6,,博凯,面料模块
02.05.03,01,TMT腱鞘护腕黑色,HW89,附件,ID_FA5FDC29E9ED4C349B8766C12508E609,,博凯,面料模块
02.05.04,01,TMT腱鞘护腕肤色,HW89,附件,ID_4D5D8A48C6C3409B872BD7FA29A09649,,博凯,面料模块
02.05.05,01,seruna三绑带骨折护腕黑色+灰色,HW99,附件,ID_B94F3F97062449BD8E4ECF6FF8955311,,博凯,面料模块
02.05.05,02,seruna三绑带骨折护腕黑色+灰色,HW99-T,附件,ID_A5C72CCACAD0497D927F8529068164CD,,博凯,面料模块
02.05.05,03,jaffick三绑带骨折护腕黑色,HW95,附件,ID_D8F401909F9A4D538267B69E74D11ECB,,博凯,面料模块
02.05.05,04,TMT康复【轻薄透气T-comb 骨折护腕】黑色+灰色,C-HW113,附件,ID_79EBB74DC80F4F838BDA853B6D771B2B,,博凯,面料模块
02.05.05,05,JAFFICK【滚轮护腕】黑色+灰色,HW101,附件+包边条,ID_CDDA686C1C2C4341B16DD381732E99A2,,博凯,面料模块
02.05.06,01,seruna髌骨带灰色,BG05,附件,ID_7BA32646353B416AAA9C878E835A0EB5,,博凯,面料模块
02.05.07,01,JAFFICK护腕黑色,JHW38,附件,ID_B531DADDA37D476BA9DD2D03AB22AD21,,博凯,面料模块
02.05.08,01,腱鞘炎护腕肤色,HW81,附件,ID_9B0285BEED13486C9234F15CD157AF48,,博凯,面料模块
02.05.09,01,保暖护膝白色,HX87,附件,ID_AB2266047DEB4700963D72DF6C458B65,,博凯,面料模块
02.05.09,02,保暖护膝蓝色,HX87,附件,ID_BFBF46724F284E1994C1B1F1CB481E2B,,博凯,面料模块
02.05.09,03,TMT康复【加压护腕】灰色,C-HW109,主体,ID_C26AC6A41C7143F28AC125E08C699F02,,博凯,面料模块
02.05.10,01,腱鞘炎护腕黑色,HW81,附件,ID_510D7A40713D40A69610F54A1C2D8054,,博凯,面料模块
02.05.11,01,腱鞘炎护腕肤色,HW81,附件,ID_9B0285BEED13486C9234F15CD157AF48,,博凯,面料模块
02.05.12,01,拇指护腕黑色,C-HW119,附件,ID_036398A18A344C7CB1D3821939281584,,博凯,面料模块
02.05.13,01,轻薄护腕浅灰色,C-HW123,附件,ID_9D634039ADDE48F4B8B028E4A641012F,,博凯,面料模块
02.05.13,02,拇指护腕浅灰色,C-HW125,附件,ID_3BC08C78540F40E2B0250888CA99A400,,博凯,面料模块
02.05.14,01,拇指护腕浅灰色,C-HW125,附件,ID_3BC08C78540F40E2B0250888CA99A400,,博凯,面料模块
02.05.15,01,升级蝉翼护膝黑色,C-HX103,附件,ID_4DC4939E69484847A8EC29A8D0049671,,博凯,面料模块
02.05.16,01,升级蝉翼护膝黑色,C-HX103,附件,ID_4DC4939E69484847A8EC29A8D0049671,,博凯,面料模块
02.05.17,01,升级蝉翼护膝灰色,C-HX103,附件,ID_4DC4939E69484847A8EC29A8D0049671,,博凯,面料模块
02.05.18,01,升级蝉翼护膝灰色,C-HX103,附件,ID_4DC4939E69484847A8EC29A8D0049671,,博凯,面料模块
